Comment,Designator,Footprint,LCSC Part #
1N4148W,D1 D2 D3 D4,SOD3716X135N,
1k,R16 R17 R21,R0805,
1uF,C1 C2 C3 C4 C5 C11 C15 C17 C18 C19,C0805,
2.2uF,C21,C0805,
3.3k,R11 R12,R0805,
4.7k,R18,R0805,
10k,R2 R4 R6 R7 R8,R0805,
10uF,C14 C16,C0805,
100k,R1 R3 R5 R9,R0805,
100uF,C12 C20,C0805,
AO3400A,Q1 Q2 Q3 Q4,SOT95P280X125-3N,
AO3401A,Q5,SOT95P280X125-3N,
BAT60J,D5,SOD323_ST,
Blue,LED1 LED4,CHIP-LED0805,
ESP32-MINI-1-N4,IC4,ESP32MINI1N4,
Green,LED2,CHIP-LED0805,
JS102011JCQN,S1,JS102011JCQN,
KSR251G_LFS,S2 S3,KSR251GLFS,
LPS22HHTR,IC3,LPS22HHTR,
LSM6DSLTR,IC5,LSM6DSLTR,
MOTOR1+,PAD2+,SMD1 27-2 54,
MOTOR1-,PAD1-,SMD1 27-2 54,
MOTOR2+,PAD4+,SMD1 27-2 54,
MOTOR2-,PAD3-,SMD1 27-2 54,
MOTOR3+,PAD6+,SMD1 27-2 54,
MOTOR3-,PAD5-,SMD1 27-2 54,
MOTOR4+,PAD8+,SMD1 27-2 54,
MOTOR4-,PAD7-,SMD1 27-2 54,
NCP176AMX330TCG,IC2,NCP176AMX330TCG,
