Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.35,12.70,Top,90.0
C2,39.37,12.70,Top,90.0
C3, 6.35,26.67,Top,0.0
C4,38.10,25.40,Top,270.0
C5,11.43,24.13,Top,0.0
C11,25.40,15.24,Top,270.0
C12,22.86,15.24,Top,270.0
C14,10.16,16.51,Top,180.0
C15,24.13,10.16,Top,270.0
C16,16.51,12.70,Top,90.0
C17,10.16, 3.81,Top,0.0
C18,20.32,15.24,Top,90.0
C19,20.32,11.43,Top,0.0
C20,26.67,10.16,Top,90.0
C21,20.32, 8.89,Top,0.0
D1, 6.35, 7.62,Top,270.0
D2,39.37, 7.62,Top,90.0
D3,38.10,30.48,Top,90.0
D4, 6.35,30.48,Top,90.0
D5, 8.89,20.32,Top,90.0
IC2,15.24, 8.89,Top,90.0
IC3,29.21,15.24,Top,0.0
IC4,16.51,35.56,Top,0.0
IC5,21.59,20.32,Top,0.0
LED1,36.83,20.32,Top,180.0
LED2,34.29,20.32,Top,180.0
LED4,29.21, 7.62,Top,0.0
PAD1-, 2.54, 7.62,Top,0.0
PAD2+, 2.54,11.43,Top,0.0
PAD3-,43.18,11.43,Top,0.0
PAD4+,43.18, 7.62,Top,0.0
PAD5-,43.18,33.02,Top,0.0
PAD6+,43.18,29.21,Top,0.0
PAD7-, 2.54,33.02,Top,0.0
PAD8+, 2.54,29.21,Top,0.0
Q1,10.16, 7.62,Top,180.0
Q2,35.56, 7.62,Top,0.0
Q3,10.16,30.48,Top,180.0
Q4,34.29,30.48,Top,0.0
Q5, 6.35,20.32,Top,270.0
R1,15.24,16.51,Top,0.0
R2,10.16,11.43,Top,0.0
R3,11.43,20.32,Top,90.0
R4,34.29,11.43,Top,0.0
R5,10.16,13.97,Top,0.0
R6,11.43,26.67,Top,0.0
R7,15.24,20.32,Top,90.0
R8,34.29,24.13,Top,0.0
R9, 6.35,24.13,Top,180.0
R11,26.67,20.32,Top,270.0
R12,29.21,20.32,Top,270.0
R16,34.29,15.24,Top,270.0
R17,36.83,15.24,Top,270.0
R18,13.97,12.70,Top,90.0
R21,31.75, 7.62,Top,90.0
S1,19.05, 3.81,Top,0.0
S2, 8.89,36.83,Top,0.0
S3,36.83,36.83,Top,180.0
