Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.35,11.43,Top,90.0
C2,45.72,11.43,Top,90.0
C3, 6.35,41.91,Top,270.0
C4,44.45,41.91,Top,270.0
C5,21.59,19.05,Top,180.0
C6,36.83,19.05,Top,90.0
C7,21.59,16.51,Top,0.0
C8,33.02,20.32,Top,180.0
C9,40.64,19.05,Top,90.0
C10,11.43,31.75,Top,270.0
C11, 8.89,31.75,Top,90.0
C12, 7.62,27.94,Top,0.0
C13, 3.81,30.48,Top,270.0
C14,15.24,20.32,Top,270.0
C15,33.02,13.97,Top,270.0
C17,11.43,15.24,Top,270.0
C18,12.70,20.32,Top,90.0
C19,30.48,12.70,Top,90.0
C20,27.94,12.70,Top,270.0
C21,16.51, 8.89,Top,0.0
D1, 6.35, 6.35,Top,90.0
D2,45.72, 6.35,Top,90.0
D3,44.45,46.99,Top,270.0
D4, 6.35,46.99,Top,270.0
D5,10.16,20.32,Top,90.0
IC1,26.67,17.78,Top,270.0
IC2,22.86,11.43,Top,0.0
IC3,15.24,16.51,Top,0.0
J2,33.02, 3.81,Top,180.0
LED1,38.10,27.94,Top,270.0
LED2,38.10,25.40,Top,270.0
LED3,38.10,22.86,Top,270.0
LED4,36.83,15.24,Top,90.0
PAD1, 2.54, 7.62,Top,0.0
PAD2, 2.54,11.43,Top,0.0
PAD3,49.53,11.43,Top,0.0
PAD4,49.53, 7.62,Top,0.0
PAD5,49.53,44.45,Top,0.0
PAD6,49.53,40.64,Top,0.0
PAD7, 2.54,44.45,Top,0.0
PAD8, 2.54,40.64,Top,0.0
Q1,10.16, 6.35,Top,180.0
Q2,41.91, 6.35,Top,0.0
Q3,10.16,46.99,Top,180.0
Q4,40.64,46.99,Top,0.0
Q5, 7.62,20.32,Top,270.0
Q6,17.78,12.70,Top,180.0
R1,12.70,25.40,Top,180.0
R2,12.70,11.43,Top,180.0
R3,12.70,27.94,Top,0.0
R4,41.91,11.43,Top,0.0
R5, 8.89,15.24,Top,90.0
R6,11.43,43.18,Top,0.0
R8,39.37,43.18,Top,0.0
R9, 7.62,25.40,Top,180.0
R10,17.78,20.32,Top,270.0
R11,40.64,15.24,Top,0.0
R12,43.18,19.05,Top,90.0
R13, 3.81,36.83,Top,90.0
R14,41.91,31.75,Top,90.0
R15,43.18,22.86,Top,0.0
R16,43.18,25.40,Top,0.0
R17,43.18,27.94,Top,0.0
R18,38.10,31.75,Top,90.0
R21,36.83,12.70,Top,0.0
S1,19.05, 3.81,Top,0.0
S4,10.16,36.83,Top,0.0
S5,40.64,36.83,Top,0.0
U1,25.40,33.02,Top,90.0
