gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-59,-63,14,-20,-306,3899,-2.75,-2.76,2.43,-0.20,-3.06,38.99,-4.34,-0.04,63.00,4.82,2.06,-0.17
-25,-28,-12,-97,-407,3969,-2.63,-2.65,2.11,-0.97,-4.07,39.69,-4.37,-0.03,62.99,4.11,1.31,-0.13
-6,-11,-19,-75,-429,3959,-2.40,-2.46,1.78,-0.75,-4.29,39.59,-4.39,-0.03,62.99,3.68,0.91,-0.13
-5,-11,-21,-93,-409,3924,-2.19,-2.28,1.48,-0.93,-4.09,39.24,-4.41,-0.03,62.98,3.61,0.86,-0.13
-1,-2,-15,-59,-361,3927,-1.98,-2.06,1.24,-0.59,-3.61,39.27,-4.43,-0.02,62.97,3.49,0.62,-0.14
0,-1,-13,-55,-350,3920,-1.78,-1.86,1.03,-0.55,-3.50,39.20,-4.45,-0.02,62.97,3.42,0.54,-0.15
1,1,-9,-51,-353,3912,-1.60,-1.67,0.88,-0.51,-3.53,39.12,-4.47,-0.01,62.97,3.37,0.44,-0.16
1,0,-12,-39,-360,3928,-1.43,-1.50,0.72,-0.39,-3.60,39.28,-4.49,-0.00,62.96,3.33,0.41,-0.16
4,4,-27,24,-436,3913,-1.26,-1.33,0.48,0.24,-4.36,39.13,-4.51,-0.01,62.96,3.24,0.29,-0.14
2,3,-27,-14,-403,3921,-1.13,-1.18,0.27,-0.14,-4.03,39.21,-4.54,-0.01,62.96,3.26,0.27,-0.14
0,-5,-17,-18,-305,3907,-1.01,-1.09,0.14,-0.18,-3.05,39.07,-4.54,-0.00,62.96,3.27,0.40,-0.16
-1,-6,-19,-12,-329,3908,-0.92,-1.02,0.01,-0.12,-3.29,39.08,-4.56,0.00,62.96,3.28,0.40,-0.16
-1,-7,-8,65,-293,3909,-0.83,-0.96,-0.04,0.65,-2.93,39.09,-4.55,-0.02,62.96,3.25,0.41,-0.18
-1,-1,-9,169,-355,3953,-0.76,-0.87,-0.09,1.69,-3.55,39.53,-4.56,-0.04,62.96,3.24,0.28,-0.18
0,-7,-19,-176,-305,3937,-0.68,-0.82,-0.20,-1.76,-3.05,39.37,-4.56,-0.02,62.96,3.20,0.38,-0.16
-5,-10,-13,-107,-345,3925,-0.64,-0.80,-0.26,-1.07,-3.45,39.25,-4.57,-0.01,62.96,3.29,0.43,-0.17
36,-4,-27,-94,-356,3886,-0.36,-0.75,-0.40,-0.94,-3.56,38.86,-4.58,0.00,62.96,2.39,0.28,-0.15
9,-6,-14,-71,-304,3940,-0.27,-0.71,-0.44,-0.71,-3.04,39.40,-4.58,0.02,62.96,2.91,0.30,-0.17
4,4,-7,-43,-366,3950,-0.22,-0.61,-0.44,-0.43,-3.66,39.50,-4.59,0.03,62.96,3.01,0.07,-0.18
3,4,-8,-34,-389,3937,-0.18,-0.53,-0.45,-0.34,-3.89,39.37,-4.61,0.03,62.96,3.03,0.04,-0.18
3,13,-6,-26,-421,3915,-0.14,-0.40,-0.44,-0.26,-4.21,39.15,-4.63,0.04,62.97,3.03,-0.18,-0.19
9,18,-2,-36,-397,3903,-0.07,-0.25,-0.41,-0.36,-3.97,39.03,-4.65,0.04,62.97,2.90,-0.33,-0.19
34,34,15,-66,-334,3908,0.14,-0.01,-0.27,-0.66,-3.34,39.08,-4.65,0.06,62.97,2.34,-0.73,-0.22
30,28,14,-70,-319,3933,0.31,0.16,-0.16,-0.70,-3.19,39.33,-4.65,0.08,62.97,2.37,-0.66,-0.22
7,5,11,-31,-229,3928,0.32,0.17,-0.08,-0.31,-2.29,39.28,-4.63,0.08,62.97,2.83,-0.20,-0.21
-1,-3,9,-28,-221,3900,0.28,0.14,-0.02,-0.28,-2.21,39.00,-4.61,0.09,62.97,2.99,-0.04,-0.20
-3,-1,8,3,-295,3906,0.24,0.12,0.03,0.03,-2.95,39.06,-4.59,0.08,62.97,3.03,-0.07,-0.20
-9,-4,8,-14,-320,3925,0.16,0.08,0.08,-0.14,-3.20,39.25,-4.60,0.10,62.97,3.18,-0.01,-0.20
-42,-42,30,-54,-338,3917,-0.11,-0.18,0.25,-0.54,-3.38,39.17,-4.61,0.11,62.97,3.93,0.83,-0.24
-29,-36,25,-67,-345,3901,-0.28,-0.38,0.38,-0.67,-3.45,39.01,-4.62,0.13,62.97,3.71,0.75,-0.22
-5,-17,17,-70,-319,3927,-0.28,-0.45,0.45,-0.70,-3.19,39.27,-4.62,0.15,62.96,3.23,0.37,-0.21
-2,-14,16,-59,-336,3927,-0.27,-0.49,0.50,-0.59,-3.36,39.27,-4.63,0.16,62.96,3.17,0.31,-0.21
0,-5,12,-39,-336,3922,-0.24,-0.47,0.52,-0.39,-3.36,39.22,-4.64,0.17,62.96,3.13,0.11,-0.20
0,-7,12,-39,-344,3932,-0.21,-0.47,0.54,-0.39,-3.44,39.32,-4.65,0.19,62.96,3.13,0.15,-0.20
0,-11,16,-25,-350,3927,-0.19,-0.49,0.59,-0.25,-3.50,39.27,-4.67,0.19,62.96,3.14,0.23,-0.21
-15,-25,22,14,-352,3885,-0.27,-0.59,0.66,0.14,-3.52,38.85,-4.69,0.18,62.95,3.47,0.55,-0.22
-4,-14,23,-36,-341,3893,-0.26,-0.62,0.74,-0.36,-3.41,38.93,-4.70,0.19,62.95,3.25,0.33,-0.22
-4,-14,16,-46,-346,3929,-0.26,-0.64,0.76,-0.46,-3.46,39.29,-4.71,0.20,62.95,3.26,0.33,-0.20
-2,-10,19,-46,-307,3911,-0.25,-0.64,0.80,-0.46,-3.07,39.11,-4.70,0.22,62.94,3.21,0.23,-0.21
-2,-9,18,-43,-325,3912,-0.23,-0.63,0.83,-0.43,-3.25,39.12,-4.71,0.23,62.94,3.21,0.20,-0.21
0,-3,14,7,-391,3920,-0.21,-0.58,0.83,0.07,-3.91,39.20,-4.73,0.22,62.94,3.18,0.07,-0.20
-1,-4,9,7,-373,3913,-0.20,-0.55,0.80,0.07,-3.73,39.13,-4.74,0.22,62.93,3.20,0.09,-0.19
-1,-39,4,-19,-340,3981,-0.18,-0.73,0.75,-0.19,-3.40,39.81,-4.76,0.22,62.93,3.21,0.85,-0.18
-3,-56,0,-10,-312,3952,-0.18,-1.00,0.67,-0.10,-3.12,39.52,-4.74,0.21,62.93,3.24,1.27,-0.18
-2,-16,-1,-41,-360,3902,-0.18,-1.00,0.60,-0.41,-3.60,39.02,-4.76,0.22,62.92,3.23,0.45,-0.18
2,-8,-2,-9,-346,3948,-0.15,-0.95,0.53,-0.09,-3.46,39.48,-4.78,0.21,62.92,3.15,0.28,-0.18
6,6,7,54,-317,3944,-0.10,-0.82,0.52,0.54,-3.17,39.44,-4.77,0.19,62.92,3.05,-0.02,-0.19
4,6,6,13,-338,3920,-0.06,-0.70,0.50,0.13,-3.38,39.20,-4.78,0.17,62.92,3.09,-0.04,-0.19
3,8,10,-81,-360,3903,-0.04,-0.58,0.51,-0.81,-3.60,39.03,-4.79,0.18,62.91,3.11,-0.12,-0.20
4,7,12,-133,-358,3947,-0.01,-0.48,0.54,-1.33,-3.58,39.47,-4.79,0.20,62.91,3.08,-0.14,-0.20
0,2,5,-66,-345,3913,-0.01,-0.42,0.51,-0.66,-3.45,39.13,-4.80,0.21,62.91,3.17,-0.07,-0.19
1,2,6,-47,-329,3924,-0.00,-0.36,0.50,-0.47,-3.29,39.24,-4.80,0.23,62.91,3.15,-0.09,-0.19
2,3,9,-32,-308,3923,0.01,-0.31,0.50,-0.32,-3.08,39.23,-4.78,0.24,62.91,3.11,-0.14,-0.20
0,9,11,-45,-300,3936,0.01,-0.22,0.52,-0.45,-3.00,39.36,-4.77,0.25,62.90,3.15,-0.29,-0.20
4,42,8,-11,-347,3870,0.03,0.05,0.52,-0.11,-3.47,38.70,-4.79,0.25,62.90,3.07,-1.03,-0.19
3,63,3,-20,-354,3844,0.05,0.43,0.48,-0.20,-3.54,38.44,-4.81,0.25,62.90,3.10,-1.57,-0.19
4,33,-12,-67,-334,3999,0.07,0.59,0.36,-0.67,-3.34,39.99,-4.81,0.27,62.90,3.07,-1.01,-0.16
7,18,-22,-90,-427,3907,0.10,0.64,0.19,-0.90,-4.27,39.07,-4.82,0.29,62.90,3.01,-0.73,-0.15
1,-1,-13,-57,-330,3918,0.10,0.57,0.09,-0.57,-3.30,39.18,-4.82,0.31,62.90,3.13,-0.34,-0.17
0,-3,-9,-56,-349,3928,0.09,0.50,0.03,-0.56,-3.49,39.28,-4.83,0.33,62.90,3.16,-0.29,-0.17
0,-5,-8,-54,-348,3929,0.08,0.42,-0.02,-0.54,-3.48,39.29,-4.83,0.34,62.90,3.17,-0.24,-0.18
1,-4,-6,-35,-364,3931,0.08,0.35,-0.06,-0.35,-3.64,39.31,-4.85,0.35,62.90,3.16,-0.25,-0.18
-1,-2,-6,-55,-359,3934,0.06,0.30,-0.09,-0.55,-3.59,39.34,-4.86,0.37,62.90,3.21,-0.28,-0.18
-1,-2,-6,-49,-348,3918,0.05,0.26,-0.12,-0.49,-3.48,39.18,-4.87,0.38,62.90,3.22,-0.28,-0.18
0,-3,-5,-49,-343,3916,0.05,0.22,-0.13,-0.49,-3.43,39.16,-4.88,0.40,62.90,3.21,-0.26,-0.18
0,-3,-5,-50,-358,3923,0.04,0.18,-0.15,-0.50,-3.58,39.23,-4.89,0.41,62.90,3.22,-0.26,-0.18
2,0,-3,-28,-319,3948,0.05,0.16,-0.16,-0.28,-3.19,39.48,-4.87,0.41,62.90,3.16,-0.32,-0.19
1,2,1,-33,-305,3913,0.05,0.15,-0.13,-0.33,-3.05,39.13,-4.86,0.42,62.90,3.17,-0.36,-0.19
0,-2,-2,-38,-330,3905,0.05,0.13,-0.13,-0.38,-3.30,39.05,-4.85,0.44,62.90,3.19,-0.28,-0.19
-1,-5,-2,-54,-328,3928,0.04,0.08,-0.13,-0.54,-3.28,39.28,-4.85,0.45,62.90,3.21,-0.22,-0.19
1,-4,-2,-29,-335,3932,0.04,0.05,-0.13,-0.29,-3.35,39.32,-4.86,0.44,62.90,3.18,-0.22,-0.19
2,-3,-3,-40,-338,3933,0.05,0.03,-0.14,-0.40,-3.38,39.33,-4.86,0.46,62.90,3.16,-0.25,-0.19
2,-2,1,-42,-332,3918,0.05,0.01,-0.12,-0.42,-3.32,39.18,-4.86,0.47,62.91,3.15,-0.28,-0.19
3,-1,1,-38,-337,3926,0.07,0.01,-0.10,-0.38,-3.37,39.26,-4.87,0.49,62.91,3.14,-0.30,-0.19
2,0,0,-46,-351,3924,0.07,0.00,-0.09,-0.46,-3.51,39.24,-4.88,0.50,62.91,3.16,-0.33,-0.19
3,-2,-2,-63,-344,3935,0.08,-0.01,-0.09,-0.63,-3.44,39.35,-4.89,0.52,62.91,3.14,-0.30,-0.19
4,-1,-1,-163,-349,3912,0.10,-0.01,-0.09,-1.63,-3.49,39.12,-4.89,0.54,62.91,3.12,-0.33,-0.19
1,-2,-6,-141,-377,3911,0.10,-0.02,-0.12,-1.41,-3.77,39.11,-4.90,0.55,62.91,3.19,-0.32,-0.18
-1,-5,9,-33,-379,3906,0.08,-0.05,-0.05,-0.33,-3.79,39.06,-4.92,0.55,62.91,3.24,-0.25,-0.20
1,-5,11,-27,-361,3879,0.08,-0.08,0.02,-0.27,-3.61,38.79,-4.93,0.54,62.91,3.21,-0.24,-0.21
-1,-11,-13,-18,-320,3912,0.06,-0.14,-0.06,-0.18,-3.20,39.12,-4.92,0.53,62.91,3.25,-0.09,-0.17
-1,-12,-18,-23,-313,3921,0.05,-0.20,-0.16,-0.23,-3.13,39.21,-4.90,0.52,62.91,3.24,-0.05,-0.16
-7,-10,-42,-69,-374,3889,0.00,-0.24,-0.40,-0.69,-3.74,38.89,-4.92,0.53,62.91,3.39,-0.08,-0.12
-2,-16,-49,-52,-402,3964,-0.01,-0.31,-0.66,-0.52,-4.02,39.64,-4.93,0.53,62.91,3.30,0.06,-0.12
-3,-10,-20,-71,-468,3914,-0.03,-0.34,-0.72,-0.71,-4.68,39.14,-4.95,0.54,62.92,3.34,-0.06,-0.17
-2,-7,6,-68,-485,3910,-0.04,-0.35,-0.61,-0.68,-4.85,39.10,-4.97,0.54,62.92,3.33,-0.12,-0.21
