gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-1,2,-1,-70,-396,3930,-0.03,0.07,-0.03,-0.70,-3.96,39.30,-5.51,0.81,13.06,1.53,-0.51,-1.19
-1,0,-1,-49,-377,3965,-0.03,0.06,-0.03,-0.49,-3.77,39.65,-5.49,0.79,13.06,1.52,-0.03,-1.19
0,-1,0,-49,-357,3939,-0.03,0.05,-0.03,-0.49,-3.57,39.39,-5.48,0.79,13.06,1.27,0.18,-1.27
2,0,0,-67,-382,3914,-0.01,0.04,-0.03,-0.67,-3.82,39.14,-5.49,0.81,13.06,0.82,-0.09,-1.27
0,2,1,-68,-406,3932,-0.01,0.05,-0.02,-0.68,-4.06,39.32,-5.50,0.81,13.06,1.34,-0.57,-1.35
-1,1,0,-45,-382,3948,-0.02,0.05,-0.02,-0.45,-3.82,39.48,-5.51,0.80,13.06,1.58,-0.31,-1.26
2,1,0,-71,-414,3949,-0.00,0.05,-0.01,-0.71,-4.14,39.49,-5.52,0.80,13.06,0.87,-0.31,-1.26
-1,0,0,-54,-400,3932,-0.01,0.05,-0.01,-0.54,-4.00,39.32,-5.54,0.80,13.06,1.62,-0.08,-1.26
0,-1,1,-49,-380,3928,-0.01,0.04,-0.01,-0.49,-3.80,39.28,-5.54,0.78,13.06,1.37,0.14,-1.34
3,-1,0,-43,-381,3924,0.01,0.03,-0.00,-0.43,-3.81,39.24,-5.54,0.77,13.06,0.68,0.11,-1.25
3,-1,-1,-57,-389,3926,0.03,0.02,-0.01,-0.57,-3.89,39.26,-5.55,0.77,13.06,0.74,0.07,-1.17
-5,-9,-15,-84,-331,3975,-0.01,-0.04,-0.10,-0.84,-3.31,39.75,-5.54,0.78,13.06,2.65,1.89,-0.07
1,-2,-8,-45,-366,3954,0.00,-0.05,-0.14,-0.45,-3.66,39.54,-5.52,0.77,13.07,1.14,0.08,-0.70
5,3,-3,-31,-405,3934,0.03,-0.02,-0.14,-0.31,-4.05,39.34,-5.54,0.76,13.07,0.25,-1.10,-1.12
-1,-3,5,-18,-415,3900,0.02,-0.04,-0.10,-0.18,-4.15,39.00,-5.55,0.75,13.07,1.74,0.37,-1.76
0,-1,-10,-55,-390,3943,0.02,-0.04,-0.15,-0.55,-3.90,39.43,-5.57,0.76,13.07,1.48,-0.15,-0.54
-2,3,-1,-47,-432,3938,0.01,-0.02,-0.14,-0.47,-4.32,39.38,-5.58,0.75,13.07,1.94,-1.08,-1.29
9,8,-5,-10,-395,3898,0.06,0.03,-0.16,-0.10,-3.95,38.98,-5.59,0.74,13.07,-0.65,-2.16,-0.97
3,2,3,-92,-353,3981,0.07,0.04,-0.12,-0.92,-3.53,39.81,-5.58,0.75,13.07,0.92,-0.60,-1.62
1,1,0,-71,-355,3943,0.07,0.04,-0.11,-0.71,-3.55,39.43,-5.56,0.76,13.07,1.42,-0.34,-1.35
1,2,4,-60,-347,3929,0.07,0.05,-0.08,-0.60,-3.47,39.29,-5.54,0.76,13.07,1.41,-0.57,-1.66
3,1,4,-45,-378,3932,0.08,0.05,-0.04,-0.45,-3.78,39.32,-5.53,0.75,13.07,0.94,-0.30,-1.63
-1,0,1,-45,-399,3928,0.07,0.05,-0.03,-0.45,-3.99,39.28,-5.55,0.74,13.07,1.91,-0.07,-1.36
-1,0,3,-54,-391,3934,0.05,0.04,-0.01,-0.54,-3.91,39.34,-5.57,0.75,13.07,1.87,-0.09,-1.51
1,1,-1,-70,-364,3926,0.06,0.04,-0.02,-0.70,-3.64,39.26,-5.56,0.76,13.07,1.36,-0.34,-1.18
1,1,2,-78,-360,3934,0.06,0.05,-0.00,-0.78,-3.60,39.34,-5.54,0.77,13.07,1.36,-0.33,-1.42
2,1,-4,-62,-382,3932,0.06,0.05,-0.03,-0.62,-3.82,39.32,-5.54,0.79,13.07,1.13,-0.33,-0.93
2,1,-2,-56,-379,3935,0.07,0.05,-0.04,-0.56,-3.79,39.35,-5.53,0.80,13.07,1.14,-0.33,-1.11
